insert into MeatEntree (meatEntreeID, meatEntreeAddOn) values
(1, "Beef"),
(2, "Beef"),
(3, "Beef"),
(4, "Beef"),
(5, "Beef"),
(6, "Beef"),
(7, "Beef"),
(8, "Beef"),
(121, "Chef Special"),
(122, "Chef Special"),
(123, "Chef Special"),
(124, "Chef Special"),
(125, "Chef Special"),
(126, "Chef Special"),
(127, "Chef Special"),
(128, "Chef Special"),
(9, "Chicken"),
(10, "Chicken"),
(11, "Chicken"),
(12, "Chicken"),
(13, "Chicken"),
(14, "Chicken"),
(15, "Chicken"),
(16, "Chicken"),
(17, "Pork"),
(18, "Pork"),
(19, "Pork"),
(20, "Pork"),
(21, "Pork"),
(22, "Pork"),
(23, "Pork"),
(24, "Pork"),
(25, "Seafood"),
(26, "Seafood"),
(27, "Seafood"),
(28, "Seafood"),
(29, "Seafood"),
(30, "Seafood"),
(31, "Seafood"),
(32, "Seafood"),
(33, "Vegatables"),
(34, "Vegatables"),
(35, "Vegatables"),
(36, "Vegatables"),
(37, "Vegatables"),
(38, "Vegatables"),
(39, "Vegatables"),
(40, "Vegatables"),
(41, "Beef"),
(42, "Beef"),
(43, "Beef"),
(44, "Beef"),
(45, "Beef"),
(46, "Beef"),
(47, "Beef"),
(48, "Beef"),
(129, "Chef Special"),
(130, "Chef Special"),
(131, "Chef Special"),
(132, "Chef Special"),
(133, "Chef Special"),
(134, "Chef Special"),
(135, "Chef Special"),
(136, "Chef Special"),
(49, "Chicken"),
(50, "Chicken"),
(51, "Chicken"),
(52, "Chicken"),
(53, "Chicken"),
(54, "Chicken"),
(55, "Chicken"),
(56, "Chicken"),
(57, "Pork"),
(58, "Pork"),
(59, "Pork"),
(60, "Pork"),
(61, "Pork"),
(62, "Pork"),
(63, "Pork"),
(64, "Pork"),
(65, "Seafood"),
(66, "Seafood"),
(67, "Seafood"),
(68, "Seafood"),
(69, "Seafood"),
(70, "Seafood"),
(71, "Seafood"),
(72, "Seafood"),
(73, "Vegatables"),
(74, "Vegatables"),
(75, "Vegatables"),
(76, "Vegatables"),
(77, "Vegatables"),
(78, "Vegatables"),
(79, "Vegatables"),
(80, "Vegatables"),
(81, "Beef"),
(82, "Beef"),
(83, "Beef"),
(84, "Beef"),
(85, "Beef"),
(86, "Beef"),
(87, "Beef"),
(88, "Beef"),
(137, "Chef Special"),
(138, "Chef Special"),
(139, "Chef Special"),
(140, "Chef Special"),
(141, "Chef Special"),
(142, "Chef Special"),
(143, "Chef Special"),
(144, "Chef Special"),
(89, "Chicken"),
(90, "Chicken"),
(91, "Chicken"),
(92, "Chicken"),
(93, "Chicken"),
