insert into Soup (soupID, soupVolume) values
(575,"defined size"),
(576,"defined size"),
(577,"defined size"),
(578,"cup"),
(579,"bowl"),
(580,"pint"),
(581,"quart"),
(582,"gallon"),
(583,"defined size"),
(584,"defined size"),
(585,"defined size"),
(586,"cup"),
(587,"bowl"),
(588,"pint"),
(589,"quart"),
(590,"gallon"),
(591,"defined size"),
(592,"defined size"),
(593,"defined size"),
(594,"cup"),
(595,"bowl"),
(596,"pint"),
(597,"quart"),
(598,"gallon"),
(599,"defined size"),
(600,"defined size"),
(601,"defined size"),
(602,"cup"),
(603,"bowl"),
(604,"pint"),
(605,"quart"),
(606,"gallon"),
(607,"defined size"),
(608,"defined size"),
(609,"defined size"),
(610,"cup"),
(611,"bowl"),
(612,"pint"),
(613,"quart"),
(614,"gallon"),
(615,"defined size"),
(616,"defined size"),
(617,"defined size"),
(618,"cup"),
(619,"bowl"),
(620,"pint"),
(621,"quart"),
(622,"gallon"),
(623,"defined size"),
(624,"defined size"),
(625,"defined size"),
(626,"cup"),
(627,"bowl"),
(628,"pint"),
(629,"quart"),
(630,"gallon"),
(631,"defined size"),
(632,"defined size"),
(633,"defined size"),
(634,"cup"),
(635,"bowl"),
(636,"pint"),
(637,"quart"),
(638,"gallon"),
(639,"defined size"),
(640,"defined size"),
(641,"defined size"),
(642,"cup"),
(643,"bowl"),
(644,"pint"),
(645,"quart"),
(646,"gallon"),
(647,"defined size"),
(648,"defined size"),
(649,"defined size"),
(650,"cup"),
(651,"bowl"),
(652,"pint"),
(653,"quart"),
(654,"gallon"),
(655,"defined size"),
(656,"defined size"),
(657,"defined size"),
(658,"cup"),
(659,"bowl"),
(660,"pint"),
(661,"quart"),
(662,"gallon"),
(663,"defined size"),
(664,"defined size"),
(665,"defined size"),
(666,"cup"),
(667,"bowl"),
(668,"pint"),
(669,"quart"),
(670,"gallon"),
(671,"defined size"),
(672,"defined size"),
(673,"defined size"),
(674,"cup"),
(675,"bowl"),
(676,"pint"),
(677,"quart"),
(678,"gallon"),
(679,"defined size"),
(680,"defined size"),
(681,"defined size"),
(682,"cup"),
(683,"bowl"),
(684,"pint"),
(685,"quart"),
(686,"gallon"),
(687,"defined size"),
(688,"defined size"),
(689,"defined size"),
(690,"cup"),
(691,"bowl"),
(692,"pint"),
(693,"quart"),
(694,"gallon"),
(695,"defined size"),
(696,"defined size"),
(697,"defined size"),
(698,"cup"),
(699,"bowl"),
(700,"pint"),
(701,"quart"),
(702,"gallon"),
(703,"defined size"),
(704,"defined size"),
(705,"defined size"),
(706,"cup"),
(707,"bowl"),
(708,"pint"),
(709,"quart"),
(710,"gallon"),
(711,"defined size"),
(712,"defined size"),
(713,"defined size"),
(714,"cup"),
(715,"bowl"),
(716,"pint"),
(717,"quart"),
(718,"gallon"),
(719,"defined size"),
(720,"defined size"),
(775,"defined size"),
(721,"cup"),
(722,"bowl"),
(723,"pint"),
(724,"quart"),
(725,"gallon"),
(726,"defined size"),
(727,"defined size"),
(728,"defined size"),
(729,"cup"),
(730,"bowl"),
(731,"pint"),
(732,"quart"),
(733,"gallon"),
(734,"defined size"),
(735,"defined size"),
(736,"defined size"),
(737,"cup"),
(738,"bowl"),
(739,"pint"),
(740,"quart"),
(741,"gallon"),
(742,"defined size"),
(743,"defined size"),
(744,"defined size"),
(745,"cup"),
(746,"bowl"),
(747,"pint"),
(748,"quart"),
(749,"gallon"),
(750,"defined size"),
(751,"defined size"),
(752,"defined size"),
(753,"cup"),
(754,"bowl"),
(755,"pint"),
(756,"quart"),
(757,"gallon"),
(758,"defined size"),
(759,"defined size"),
(760,"defined size"),
(761,"cup"),
(762,"bowl"),
(763,"pint"),
(764,"quart"),
(765,"gallon"),
(767,"defined size"),
(768,"defined size"),
(769,"defined size"),
(770,"cup"),
(771,"bowl"),
(772,"pint"),
(773,"quart"),
(774,"gallon");
